target_month, product_id, sales_target
2016-09-01,JAF-005,115
2016-09-01,JAF-003,96
2016-09-01,JAF-004,89
2016-09-01,BEV-002,383
2016-09-01,BEV-004,352
2016-09-01,JAF-001,92
2016-09-01,BEV-005,411
2016-09-01,BEV-003,369
2016-09-01,BEV-001,330
2016-09-01,JAF-002,100
2016-10-01,BEV-002,393
2016-10-01,JAF-002,154
2016-10-01,JAF-005,126
2016-10-01,JAF-001,137
2016-10-01,BEV-004,355
2016-10-01,BEV-005,408
2016-10-01,BEV-003,457
2016-10-01,JAF-004,128
2016-10-01,BEV-001,342
2016-10-01,JAF-003,175
2016-11-01,BEV-002,545
2016-11-01,BEV-004,484
2016-11-01,JAF-001,153
2016-11-01,JAF-004,152
2016-11-01,BEV-003,584
2016-11-01,JAF-002,143
2016-11-01,BEV-001,508
2016-11-01,JAF-005,145
2016-11-01,JAF-003,170
2016-11-01,BEV-005,471
2016-12-01,JAF-005,247
2016-12-01,BEV-004,698
2016-12-01,BEV-003,673
2016-12-01,BEV-005,661
2016-12-01,BEV-002,624
2016-12-01,JAF-003,211
2016-12-01,JAF-002,279
2016-12-01,JAF-004,232
2016-12-01,BEV-001,625
2016-12-01,JAF-001,188
